Date,Open,High,Low,Close,Volume
8-Dec-16,792.95,799,787.9,795.17,1612531
7-Dec-16,779.95,792,773.53,791.47,2029415
6-Dec-16,780.19,785.28,773.32,776.18,1734099
5-Dec-16,770,780,766.97,778.22,1688473
2-Dec-16,761.9,770.5,759,764.46,1718846
1-Dec-16,778.55,778.6,753.36,764.33,2867074
30-Nov-16,789.1,791.51,773.14,775.88,2279054
29-Nov-16,788.38,796.44,785.34,789.44,1561981
28-Nov-16,778.35,799.74,778.1,785.79,2575432
25-Nov-16,782.61,782.9,778.19,780.23,613549
23-Nov-16,789.52,789.52,772.65,779,1312981
22-Nov-16,788.99,793.77,783.74,785,1394174
21-Nov-16,778.1,786.55,776.3,784.8,1630835
18-Nov-16,787.17,791.29,775.35,775.97,1806264
17-Nov-16,782.5,788.9,779.85,786.16,1533679
16-Nov-16,770.42,783.5,766.33,779.98,1798360
15-Nov-16,765.47,780.24,765.22,775.16,2943889
14-Nov-16,771.76,771.78,743.59,753.22,3688274
11-Nov-16,776.81,777.29,765.54,771.75,3592641
10-Nov-16,810,810.06,768.23,780.29,5909609
9-Nov-16,801.83,811.71,792.04,805.59,3098510
8-Nov-16,802.03,816.04,799.62,811.98,1769069
7-Nov-16,794.95,805,792.9,802.03,1992570
4-Nov-16,771.3,788.48,771,781.1,1970603
3-Nov-16,784.5,790,778.63,782.19,2175216
2-Nov-16,806.76,806.76,785,788.42,2350736
1-Nov-16,810.87,813.96,798.26,805.48,2355890
31-Oct-16,822.43,822.63,808,809.9,2242679
28-Oct-16,829.94,839,817,819.56,4354884
27-Oct-16,823.01,826.58,814.61,817.35,2973486
26-Oct-16,827.12,827.71,816.35,822.1,1794868
25-Oct-16,838.5,838.5,825.3,828.55,1890712
24-Oct-16,830.09,837.94,829.04,835.74,1447616
21-Oct-16,820,824.29,818.31,824.06,1615814
20-Oct-16,827.56,828.46,820.55,821.63,1393870
19-Oct-16,824.52,829.81,823.2,827.09,1500142
18-Oct-16,814.21,828.81,813.33,821.49,2289265
17-Oct-16,805.99,813.49,803.83,806.84,1056367
14-Oct-16,807.45,810.09,802.32,804.6,1111934
13-Oct-16,806.07,806.56,798.62,804.08,1368981
12-Oct-16,811.96,814.5,808.55,811.77,907876
11-Oct-16,814.17,819.86,807.37,809.57,1721575
10-Oct-16,803.93,817.38,802.24,814.17,1496115
7-Oct-16,805.93,805.94,796.82,800.71,1163899
6-Oct-16,804.08,806.94,800.51,803.08,1099909
5-Oct-16,806,808.5,800.71,801.23,1213820
4-Oct-16,805,806.5,799.67,802.79,1258706
3-Oct-16,802.55,803.54,796.23,800.38,1489212
30-Sep-16,803.6,808.09,801.5,804.06,1660201
29-Sep-16,807.23,813.91,800.86,802.64,1349974
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
